1;Braunschweig
2;Stade
3;Kolberg
4;Goslar
5;Rüthen
6;Dithmarschen
7;Duisburg
8;Hamburg
9;Werl
10;Soest
11;Bremen
12;Ravensberg
13;Herford
14;Oldenburg
15;Lübeck
16;Magdeburg
17;Rietberg
18;Bamberg
19;Rostock
