,sigle,name,text_type_id,year,lon,lat,Tokencount,year_norm,lon_norm,lat_norm
0,REN19,Brs. Ält. DegB Altst. II,1,1200,10.523606599999999,52.26465770000001,8243,-1.1401754250991374,0.6671919863597422,-0.26671229313213995
1,SOS1,Soester Schrae,1,1300,8.1043635,51.578416600000004,7413,-0.1315587028960538,-1.0280302808234612,-0.7475780620068355
2,SRR1,Statuarrecht Stadt Rüthen,1,1300,8.4330329,51.491139200000006,5391,-0.1315587028960538,-0.7977236673947633,-0.8087354512340081
3,St2,Stadtrecht Stade,1,1200,9.475438,53.599793999999996,16572,-1.1401754250991374,-0.06728515257773889,0.668850067460962
4,WS1,Werler Statuten,1,1300,7.915555800000001,51.55334570000001,1328,-0.1315587028960538,-1.1603324117071432,-0.7651458491954468
5,BS1,Stadtrecht Braunschweig,1,1200,10.523606599999999,52.26465770000001,2376,-1.1401754250991374,0.6671919863597422,-0.26671229313213995
6,DSR,Duisburger Stadtrecht,1,1500,6.759562,51.434999,15514,1.8856747415101134,-1.9703652812793366,-0.8480742498541771
7,Ko,Kolberger Kodex,1,1200,15.5764209,54.17596139999999,13249,-1.1401754250991374,4.207821414341459,1.072584527261651
8,REN1,Bremer Sachsenspiegel,1,1300,8.8071646,53.0758196,15803,-0.1315587028960538,-0.5355605186400535,0.30168850758550037
9,REN2,Bremer Stadtrecht,1,1300,8.8071646,53.0758196,26076,-0.1315587028960538,-0.5355605186400535,0.30168850758550037
10,REN3,Bremer Urkunden 1301-1350,1,1300,8.8071646,53.0758196,1869,-0.1315587028960538,-0.5355605186400535,0.30168850758550037
11,REN4,Bremer Urkunden 1351-1400,1,1300,8.8071646,53.0758196,7531,-0.1315587028960538,-0.5355605186400535,0.30168850758550037
12,REN5,Bremer Urkunden 1401-1450,1,1400,8.8071646,53.0758196,1739,0.8770580193070298,-0.5355605186400535,0.30168850758550037
13,REN6,Bremer Urkunden 1451-1500,1,1400,8.8071646,53.0758196,2632,0.8770580193070298,-0.5355605186400535,0.30168850758550037
14,REN7,Hamburger Urkunden 1301-1350,1,1300,10.000653999999999,53.550341,202,-0.1315587028960538,0.30074642650618666,0.6341971519358547
15,REN8,Hamburger Urkunden 1351-1400,1,1300,10.000653999999999,53.550341,6589,-0.1315587028960538,0.30074642650618666,0.6341971519358547
16,REN9,Hamburger Urkunden 1401-1450,1,1400,10.000653999999999,53.550341,4181,0.8770580193070298,0.30074642650618666,0.6341971519358547
17,REN10,Hamburger Urkunden 1451-1500,1,1400,10.000653999999999,53.550341,3407,0.8770580193070298,0.30074642650618666,0.6341971519358547
18,REN11,Ravensberger Urkunden,1,1200,8.531007,52.0191005,501,-1.1401754250991374,-0.7290708412578472,-0.4387801739115342
19,REN12,Werler Urkunden Neheim,1,1200,7.915555800000001,51.55334570000001,255,-1.1401754250991374,-1.1603324117071432,-0.7651458491954468
20,REN14,Bamberg 1510,1,1500,10.8876149,49.8926723,19715,1.8856747415101134,0.9222614234078449,-1.928819944700298
21,REN15,Rost. Bürgerspr. 1580,1,1500,12.1286127,54.09244449999999,1169,1.8856747415101134,1.7918586557345038,1.014062211514998
22,REN18,Brs. Ält. DegB Altst. I,1,1200,10.523606599999999,52.26465770000001,1711,-1.1401754250991374,0.6671919863597422,-0.26671229313213995
